TableName,Schema Backup,Data Backup,Custom Backup,Remarks
AMRLIST_25022020,n,n,n,
AMR_METER_LIST,n,n,n,
AUTH_FEATURE,y,y,n,
AUTH_TOKEN,y,y,n,
AUTH_USER,y,y,n,
AUTH_USER_FEATURE,y,y,n,
AUTH_USER_TYPE,y,y,n,
AUTH_USER_TYPE_ACCESS,y,y,n,
AUTH_USER_TYPE_MAP,y,y,n,
BANKING_DUMMY_2802020,n,n,n,
BANKING_DUMMY_2802020_OLD,n,n,n,
BK_BANKING_08THMAY,n,n,n,
BK_BANKING_BALANCE_02SEP,n,n,n,
BK_BANKING_BALANCE_APR01,n,n,n,
BK_BANKING_BALANCE_AUG_01,n,n,n,
BK_BANKING_CALL_ADJ_ES_APR01,n,n,n,
BK_BANKING_CLOSING,n,n,n,
BK_BANKING_CLOSING_1,n,n,n,
BK_BANKING_SAME_C1,n,n,n,
BK_BANKING_UPDATE_BB_APR01,n,n,n,
BK_BANKING_UPDATE_SAME_APR01,n,n,n,
BK_BB_04062019,n,n,n,
BK_BB_SS_LOSS_04062019,n,n,n,
BK_BB_SS_LOSS_04062019_1,n,n,n,
BK_BETA_WIND_FARM_POWERPLANT,n,n,n,
BK_ENERGY_SALE_APR01,n,n,n,
BK_F_ENERGY_ADJUSTMET02SEP,n,n,n,
BK_F_ENERGY_ADJUSTMET_09SEP,n,n,n,
BK_GEN_STMT_21AUG,n,n,n,
BK_IMPORT_METER_READING,n,n,n,
BK_IMPORT_METER_READING_02AUG,n,n,n,
BK_IMP_SUBSTATION_LOSS,n,n,n,
BK_IMP_SUBSTATION_LOSS_06AUG,n,n,n,
BK_INT_ADJUSTED_UNIT_09SEP,n,n,n,
BK_INT_ADJ_UNIT_02SEP,n,n,n,
BK_INT_SURPLUS_APR01,n,n,n,
BK_MISSING_INT_ADJ_UNITS_09SEP,n,n,n,
BK_M_COMPANY_29JUL,n,n,n,
BK_M_COMPANY_METER_01AUG,n,n,n,
BK_M_COMPANY_SERVICE_29JUL,n,n,n,
BK_T_ACTIVITY_LOG,n,n,n,
BK_T_ACTIVITY_LOG_02AUG,n,n,n,
BK_T_BANKING_BALANCE_01032019,n,n,n,
BK_T_BANKING_BALANCE_020319,n,n,n,
BK_T_BANKING_BALANCE_02FEB2020,n,n,n,
BK_T_BANKING_BALANCE_030719,n,n,n,
BK_T_BANKING_BALANCE_07SEP,n,n,n,
BK_T_BANKING_BALANCE_09SEP,n,n,n,
BK_T_BANKING_BALANCE_150219,n,n,n,
BK_T_BANKING_BALANCE_B4_DOWNLOAD_0207,n,n,n,
BK_T_BANKING_BANKING_03_06_19,n,n,n,
BK_T_BB_03_06_19_AF_APR_CL_UP,n,n,n,
BK_T_BB_05032019_02,n,n,n,
BK_T_BB_05032019_before_cleaning,n,n,n,
BK_T_BB_06032019,n,n,n,
BK_T_ENERGY_SALE_09SEP,n,n,n,
BK_T_GEN_STMT_240619,n,n,n,
BK_T_GEN_STMT_SLOT_09SEP,n,n,n,
BK_T_SUBSTATION_LOSS,n,n,n,
BK_T_SUBSTATION_LOSS_06AUG,n,n,n,
BK_UPDATE_LIST_BB_02FEB2020,n,n,n,
BK_UPD_CURVALUES,n,n,n,
BK_UPD_CURVALUES_022019,n,n,n,
BK_UPD_CURVALUES_310NUM,n,n,n,
BK_UPD_CURVALUES_APR_01,n,n,n,
BK_UPD_CURVALUE_ADD_020419,n,n,n,
BK_UV_TBL_HISTORY_SLOT,n,n,n,
CONS_ENERGY_ADJUSTED_CHARGE,y,y,n,
CONS_ENERGY_ADJUSTED_ORDER,y,y,n,
DB,n,n,n,
DBINC,n,n,n,
DELETE_TXN_LOG,y,n,n,
DOC_INFO,y,,y,
DUMMY,n,n,n,
DUMMY1,n,n,n,
DUMMY_BANKING,n,n,n,
DUMMY_INT_ADJUSTED_UNIT,n,n,n,
EMPLOYEE,n,n,n,
EMPLOYEE_TABLE,n,n,n,
ERROR_TABLE,y,n,n,
EXP_TECHNICAL_DATA,y,n,n,
FINANCIAL_UNUTILIZED_BANKING,y,n,y,
F_AGREEMENT,y,n,y,
F_AGREEMENT_LINE,y,n,y,
F_ENERGY_ADJUSTED_CHARGE,y,n,y,
F_ENERGY_ADJUSTMET,y,n,y,
F_ENERGY_ADJUSTMET_01052020,n,n,n,
F_ENERGY_ADJUSTMET_29022020,n,n,n,
F_ENERGY_ADJUSTMET_30042020,n,n,n,
F_ENERGY_ADJUSTMET_BKB4FIX_280619,n,n,n,
F_ENERGY_ADJUSTMET_COPY,n,n,n,
F_ENERGY_ADJUSTMET_JANFEB2020,n,n,n,
F_ENERGY_ADJUSTMET_MAR262020,n,n,n,
F_ENERGY_CHARGES,y,n,y,
F_ENERGY_CHARGES_070619,n,n,n,
F_ENERGY_CHARGES_BKB4FIX_280619,n,n,n,
F_ENERGY_LEDGER,y,n,y,
F_ENERGY_LEDGER_BKB4FIX_280619,n,n,n,
F_ENERGY_SALE_ORDER,y,n,y,
F_ENERGY_SALE_ORDER_BKB4FIX_280619,n,n,n,
